"permutation","lod"
752,2.90719886174134
753,2.69336663153695
754,2.14043644230287
755,3.06874282225863
756,3.33979410440907
757,4.29416076885559
758,3.86062214979188
759,3.1051664931224
760,2.95692872395716
761,3.07400066402874
762,2.416546936754
763,2.5408459687676
764,4.42027570181972
765,2.66436787929115
766,3.90089964072649
767,2.37362247620831
768,2.80591649205007
769,2.47990465452085
770,2.6722716802667
771,3.59412836367846
772,3.3798135895438
773,4.25657262436675
774,3.01422512606609
775,3.43427206790034
776,4.04715974383021
777,4.06801802552809
778,3.18659314758656
779,2.76623040776076
780,4.27344323905959
781,3.48642968543845
782,2.69553394360287
783,2.97442595331177
784,4.1322979802901
785,3.20056723586504
786,3.02193652097753
787,2.58432503665017
788,4.34489195540482
789,3.16203586334154
790,2.55508946090436
791,3.80876155954388
792,2.35483800980251
793,3.97766802332058
794,2.81841613504753
795,2.38519266588924
796,2.45799951070921
797,2.83141483032546
798,2.11000922174003
799,3.06176145404993
800,3.83311731842605
801,3.83190938256485
802,2.97521234639476
803,2.83377695920512
804,2.47356342069293
805,3.50841703754304
806,4.59154658104262
807,2.31169486945555
808,3.24788430359763
809,4.00604478477794
810,3.03249703460892
811,4.36380612956464
812,2.99688302003119
813,3.61631168457416
814,3.3486697382607
815,3.53722072951405
816,3.06328316357758
817,2.6104835736503
818,2.98703064268852
819,2.62998631553842
820,3.90800183685701
821,2.74272492214891
822,2.83256319139491
823,2.96383185507193
824,3.47803747452758
825,2.21162898378043
826,3.25244849644059
827,2.74404423373653
828,3.71466479476567
829,3.09450469510193
830,3.13267065088326
831,2.9234888807116
832,2.81747792586543
833,2.34294892384287
834,2.33446376661004
835,4.50442263766695
836,2.77080646791069
837,2.65022784570715
838,3.01306490257321
839,3.13819620916365
840,4.87117461582807
841,2.64454177157677
842,2.74668618607006
843,2.99678971067624
844,2.20608572588708
845,2.93585816183145
846,2.37375721838566
847,3.13392069541123
848,3.26885381738816
849,2.89819324757332
850,2.93638491080856
851,3.16364924806635
852,2.31332741483243
853,3.225902785073
854,3.63227938709724
855,2.8781225684836
856,3.49417282522882
857,2.89333468362815
858,2.98924410864493
859,3.78431393635719
860,2.40313823023826
861,3.24474228561439
862,3.62909738169765
863,5.11072884384839
864,3.69804781570338
865,4.0372378310949
866,3.82121107811554
867,2.39541717064253
868,3.68956671881188
869,2.63896335777031
870,3.54772355194564
871,3.44056965302502
872,3.48915251372728
873,2.22510348984724
874,4.23124665686828
875,3.3971624621222
876,2.92015344374477
877,2.03257426971595
878,4.5258397466373
879,3.06352922483188
880,2.87329724893425
881,2.96072863840163
882,4.28060765562964
883,3.00949674950607
884,2.81280606066866
885,2.5817858675216
886,2.68289711917055
887,3.2914970011268
888,3.41344949686413
889,2.54569781130317
