Frame ID,Computer Time,ros time,Chunk Frame ID,Chunk Time,Latitude,Longitude
278,2025-08-11-09-40-20-270,1754923220,278,1.0004E+12,44.86781501,-93.63129694
279,2025-08-11-09-40-20-776,1754923221,279,1.00091E+12,44.8678151,-93.63129153
280,2025-08-11-09-40-21-282,1754923221,280,1.00141E+12,44.86781496,-93.63128559
281,2025-08-11-09-40-21-784,1754923222,281,1.00192E+12,44.86781537,-93.6312798
282,2025-08-11-09-40-22-293,1754923222,282,1.00243E+12,44.86781534,-93.63127418
283,2025-08-11-09-40-22-798,1754923223,283,1.00293E+12,44.86781551,-93.63126933
284,2025-08-11-09-40-23-306,1754923223,284,1.00344E+12,44.86781544,-93.63126462
285,2025-08-11-09-40-23-811,1754923224,285,1.00395E+12,44.86781528,-93.63125895
286,2025-08-11-09-40-24-324,1754923224,286,1.00445E+12,44.86781547,-93.63125409
287,2025-08-11-09-40-24-825,1754923225,287,1.00496E+12,44.86781543,-93.6312491
288,2025-08-11-09-40-25-332,1754923225,288,1.00547E+12,44.86781549,-93.63124432
289,2025-08-11-09-40-25-839,1754923226,289,1.00597E+12,44.86781541,-93.63123961
290,2025-08-11-09-40-26-344,1754923226,290,1.00648E+12,44.86781532,-93.63123492
291,2025-08-11-09-40-26-851,1754923227,291,1.00699E+12,44.86781537,-93.63123041
292,2025-08-11-09-40-27-358,1754923227,292,1.00749E+12,44.86781539,-93.63122566
293,2025-08-11-09-40-27-864,1754923228,293,1.008E+12,44.86781539,-93.63122061
294,2025-08-11-09-40-28-372,1754923228,294,1.00851E+12,44.86781534,-93.63121539
295,2025-08-11-09-40-28-880,1754923229,295,1.00901E+12,44.86781521,-93.63121011
296,2025-08-11-09-40-29-387,1754923229,296,1.00952E+12,44.86781516,-93.6312047
297,2025-08-11-09-40-29-891,1754923230,297,1.01003E+12,44.86781514,-93.63119892
298,2025-08-11-09-40-30-398,1754923230,298,1.01053E+12,44.86781501,-93.63119298
299,2025-08-11-09-40-30-908,1754923231,299,1.01104E+12,44.86781506,-93.63118702
300,2025-08-11-09-40-31-411,1754923231,300,1.01154E+12,44.8678148,-93.63118005
301,2025-08-11-09-40-31-918,1754923232,301,1.01205E+12,44.86781479,-93.63117432
302,2025-08-11-09-40-32-424,1754923232,302,1.01256E+12,44.86781487,-93.63116833
303,2025-08-11-09-40-32-936,1754923233,303,1.01306E+12,44.86781487,-93.63116244
304,2025-08-11-09-40-33-437,1754923233,304,1.01357E+12,44.86781504,-93.63115667
305,2025-08-11-09-40-33-943,1754923234,305,1.01408E+12,44.86781476,-93.63115059
306,2025-08-11-09-40-34-454,1754923234,306,1.01458E+12,44.8678149,-93.63114447
